876254301	000000000	0
876204351	876254301	1
876254310	876254301	1
876254031	876254301	1
806274351	876204351	2
876240351	876204351	2
876024351	876204351	2
876250314	876254310	2
876054231	876254031	2
860274351	806274351	3
086274351	806274351	3
870246351	876240351	3
876241350	876240351	3
076824351	876024351	3
876324051	876024351	3
870256314	876250314	3
876205314	876250314	3
076854231	876054231	3
876504231	876054231	3
864270351	860274351	4
286074351	086274351	4
807246351	870246351	4
876241305	876241350	4
706824351	076824351	4
876324501	876324051	4
807256314	870256314	4
806275314	876205314	4
876215304	876205314	4
876025314	876205314	4
706854231	076854231	4
806574231	876504231	4
876540231	876504231	4
876534201	876504231	4
864271350	864270351	5
864207351	864270351	5
286704351	286074351	5
286374051	286074351	5
847206351	807246351	5
087246351	807246351	5
876201345	876241305	5
876241035	876241305	5
760824351	706824351	5
726804351	706824351	5
876304521	876324501	5
876324510	876324501	5
857206314	807256314	5
087256314	807256314	5
860275314	806275314	5
086275314	806275314	5
876215340	876215304	5
876215034	876215304	5
076825314	876025314	5
876325014	876025314	5
760854231	706854231	5
756804231	706854231	5
860574231	806574231	5
086574231	806574231	5
870546231	876540231	5
876541230	876540231	5
876534210	876534201	5
876534021	876534201	5
864271305	864271350	6
804267351	864207351	6
864257301	864207351	6
864027351	864207351	6
206784351	286704351	6
286740351	286704351	6
286754301	286704351	6
286374501	286374051	6
847260351	847206351	6
847256301	847206351	6
847026351	847206351	6
287046351	087246351	6
806271345	876201345	6
876210345	876201345	6
876021345	876201345	6
876041235	876241035	6
764820351	760824351	6
726840351	726804351	6
726854301	726804351	6
726084351	726804351	6
806374521	876304521	6
876340521	876304521	6
876034521	876304521	6
876320514	876324510	6
857260314	857206314	6
857216304	857206314	6
857026314	857206314	6
287056314	087256314	6
865270314	860275314	6
286075314	086275314	6
876015234	876215034	6
706825314	076825314	6
876325104	876325014	6
764850231	760854231	6
756840231	756804231	6
756834201	756804231	6
756084231	756804231	6
864570231	860574231	6
586074231	086574231	6
807546231	870546231	6
876541203	876541230	6
876530214	876534210	6
864201375	864271305	7
864271035	864271305	7
840267351	804267351	7
084267351	804267351	7
864257310	864257301	7
864257031	864257301	7
064827351	864027351	7
864327051	864027351	7
260784351	206784351	7
026784351	206784351	7
280746351	286740351	7
286741350	286740351	7
286754310	286754301	7
286754031	286754301	7
286304571	286374501	7
286374510	286374501	7
847261350	847260351	7
847256310	847256301	7
847256031	847256301	7
047826351	847026351	7
847326051	847026351	7
287406351	287046351	7
287346051	287046351	7
860271345	806271345	7
086271345	806271345	7
870216345	876210345	7
076821345	876021345	7
876321045	876021345	7
076841235	876041235	7
876401235	876041235	7
764821350	764820351	7
764802351	764820351	7
720846351	726840351	7
726841350	726840351	7
726854310	726854301	7
726854031	726854301	7
726384051	726084351	7
860374521	806374521	7
086374521	806374521	7
870346521	876340521	7
876341520	876340521	7
076834521	876034521	7
870326514	876320514	7
876302514	876320514	7
850267314	857260314	7
857264310	857260314	7
857216340	857216304	7
857216034	857216304	7
057826314	857026314	7
857326014	857026314	7
287506314	287056314	7
287356014	287056314	7
865274310	865270314	7
865207314	865270314	7
286705314	286075314	7
286375014	286075314	7
076815234	876015234	7
876105234	876015234	7
760825314	706825314	7
726805314	706825314	7
876305124	876325104	7
876325140	876325104	7
764851230	764850231	7
764805231	764850231	7
750846231	756840231	7
756841230	756840231	7
756834210	756834201	7
756834021	756834201	7
056784231	756084231	7
756284031	756084231	7
864571230	864570231	7
864507231	864570231	7
586704231	586074231	7
586274031	586074231	7
847506231	807546231	7
087546231	807546231	7
876501243	876541203	7
876541023	876541203	7
870536214	876530214	7
876503214	876530214	7
804261375	864201375	8
864210375	864201375	8
864021375	864201375	8
864071235	864271035	8
284067351	084267351	8
