8	6	7	2	5	4	3	0	1
8	6	7	2	0	4	3	5	1
8	0	7	2	6	4	3	5	1
8	7	0	2	6	4	3	5	1
8	7	4	2	6	0	3	5	1
8	7	4	2	0	6	3	5	1
8	7	4	0	2	6	3	5	1
8	7	4	3	2	6	0	5	1
8	7	4	3	2	6	5	0	1
8	7	4	3	2	6	5	1	0
8	7	4	3	2	0	5	1	6
8	7	4	3	0	2	5	1	6
8	7	4	0	3	2	5	1	6
0	7	4	8	3	2	5	1	6
7	0	4	8	3	2	5	1	6
7	4	0	8	3	2	5	1	6
7	4	2	8	3	0	5	1	6
7	4	2	8	0	3	5	1	6
7	4	2	8	1	3	5	0	6
7	4	2	8	1	3	0	5	6
7	4	2	0	1	3	8	5	6
0	4	2	7	1	3	8	5	6
4	0	2	7	1	3	8	5	6
4	1	2	7	0	3	8	5	6
4	1	2	7	5	3	8	0	6
4	1	2	7	5	3	0	8	6
4	1	2	0	5	3	7	8	6
0	1	2	4	5	3	7	8	6
1	0	2	4	5	3	7	8	6
1	2	0	4	5	3	7	8	6
1	2	3	4	5	0	7	8	6
1	2	3	4	5	6	7	8	0
