6	4	7	8	5	0	3	2	1
6	4	7	8	5	1	3	2	0
6	4	7	8	5	1	3	0	2
6	4	7	8	0	1	3	5	2
6	0	7	8	4	1	3	5	2
6	7	0	8	4	1	3	5	2
6	7	1	8	4	0	3	5	2
6	7	1	8	4	2	3	5	0
6	7	1	8	4	2	3	0	5
6	7	1	8	4	2	0	3	5
6	7	1	0	4	2	8	3	5
6	7	1	4	0	2	8	3	5
6	0	1	4	7	2	8	3	5
0	6	1	4	7	2	8	3	5
4	6	1	0	7	2	8	3	5
4	6	1	7	0	2	8	3	5
4	0	1	7	6	2	8	3	5
4	1	0	7	6	2	8	3	5
4	1	2	7	6	0	8	3	5
4	1	2	7	6	5	8	3	0
4	1	2	7	6	5	8	0	3
4	1	2	7	0	5	8	6	3
4	1	2	7	5	0	8	6	3
4	1	2	7	5	3	8	6	0
4	1	2	7	5	3	8	0	6
4	1	2	7	5	3	0	8	6
4	1	2	0	5	3	7	8	6
0	1	2	4	5	3	7	8	6
1	0	2	4	5	3	7	8	6
1	2	0	4	5	3	7	8	6
1	2	3	4	5	0	7	8	6
1	2	3	4	5	6	7	8	0
